posisi,tim,gameplay,poin,form
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
12,Bologna,38,41,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
13,Fiorentina,38,40,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
